Website,Headline,URL,Media Type,Media Link,Alt Text,Caption Text
FOX,Holder says he understands mistrust of police as Ferguson protests dwindle,http://www.foxnews.com/politics/2014/08/21/holder-says-understands-mistrust-police-as-ferguson-protests-dwindle/,VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/thumbnails/i/082114/640/360/931/524/082114_housley_ferguson_640.jpg?ve=1&tl=1,,Adam Housley reports from Missouri
NYT,"As Tension Eases on Ferguson's Streets, Focus Turns to Investigation",https://www.nytimes.com/2014/08/21/us/ferguson-missouri-protests.html,VIDEO,https://static01.nyt.com/images/2014/08/20/us/20missouri-slide-9V2O/20missouri-slide-9V2O-videoLarge-v2.jpg,,"Confrontations between protesters and law enforcement continued overnight on Tuesday in Ferguson, Mo."
FOX,NJ Gov Chris Christie to Throw His Hat in the Ring for White House Run,http://www.foxnews.com/us/2015/06/30/nj-gov-chris-christie-to-throw-his-hat-in-ring-for-white-house-run.html,IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/ChristieBlog.jpg?ve=1&tl=1?ve=1&tl=1,"New Jersey Gov. Chris Christie signs the state's 2016 budget, Friday, June 26, 2015, in Trenton, N.J. Christie vetoed more than $1.6 billion from the 2016 budget approved by the Democratic-controlled Legislature and signed a roughly $34 billion budget into law. (AP Photo/Julio Cortez)","New Jersey Gov. Chris Christie signs the state's 2016 budget, Friday, June 26, 2015, in Trenton, N.J. Christie vetoed more than $1.6 billion from the 2016 budget approved by the Democratic-controlled Legislature and signed a roughly $34 billion budget into law. (AP Photo/Julio Cortez)"
NYT,"Chris Christie Announces Run, Pledging ‘Truth’ About Nation’s Woes",https://www.nytimes.com/2015/07/01/us/politics/chris-christie-presidential-campaign.html,VIDEO,https://static01.nyt.com/images/2015/07/01/us/01announce1/01announce1-videoSixteenByNine1050-v2.jpg,,"Gov. Chris Christie of New Jersey told supporters on Tuesday in Livingston, N.J., that he was joining the 2016 presidential race."
FOX,Arizona Sheriff Joe Arpaio Endorses Rick Perry,https://www.foxnews.com/politics/arizona-sheriff-joe-arpaio-endorses-rick-perry,IMAGE,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/1862/1048/c5f2b2a9-ARPAIO-BIG-TOP.jpg?ve=1&tl=1,"PHOENIX, AZ - APRIL 17:   Inmates walk as they are moved after being ordered by Maricopa County Sheriff Officer Joe Arpaio (R), looking on, to be placed into new housing to open up new beds for maximum security inmates on April 17, 2009 in Phoenix, Arizona. Arpaio has been facing criticism from Hispanic activists and lawmakers, alleging that Arpaio's crackdown methods on illegal immigrants involve racial profiling. (Photo by Joshua Lott/Getty Images) *** Local Caption *** Joe Arpaio","PHOENIX, AZ - APRIL 17:   Inmates walk as they are moved after being ordered by Maricopa County Sheriff Officer Joe Arpaio (R), looking on, to be placed into new housing to open up new beds for maximum security inmates on April 17, 2009 in Phoenix, Arizona. Arpaio has been facing criticism from Hispanic activists and lawmakers, alleging that Arpaio's crackdown methods on illegal immigrants involve racial profiling. (Photo by Joshua Lott/Getty Images) *** Local Caption *** Joe Arpaio"
NYT,Perry Wins Endorsement of Sheriff Joe ,http://thecaucus.blogs.nytimes.com/2011/11/29/rick-perry-wins-the-endorsement-of-sheriff-joe-arpaio/,IMAGE,https://static01.nyt.com/images/2011/11/29/us/politics/29perry/29perry-blog480.jpg,"Texas Gov. Rick Perry on Tuesday received the endorsement of Sheriff Joe Arpaio of Maricopa County, Ariz., who is well known for his campaign against illegal immigration.","Texas Gov. Rick Perry on Tuesday received the endorsement of Sheriff Joe Arpaio of Maricopa County, Ariz., who is well known for his campaign against illegal immigration."
FOX,RNC Chairman Steele to Announce Intentions on a Second Term,http://www.foxnews.com/politics/2010/12/12/rnc-chairman-michael-steele-expected-resign.html,IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/9e5823f9-steele.jpg?ve=1&tl=1?ve=1&tl=1,RNC Chairman Michael Steele,"          RNC Chairman Michael Steele
          (AP)"
NYT,Steele to Announce Decision on R.N.C. Run,http://thecaucus.blogs.nytimes.com/2010/12/12/steele-to-announce-decision-on-r-n-c-run/,NONE,NONE,NONE,NONE
FOX,Netanyahu appears in conservative political ad airing in Florida,http://www.foxnews.com/politics/2012/09/20/netanyahu-star-new-election-ad-airing-in-florida,IMAGE,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/340/340/cristinacorbinfox.jpg?ve=1&tl=1,Cristina Corbin,
NYT,Netanyahu Appears in Conservative Group's Ad ,http://thecaucus.blogs.nytimes.com/2012/09/20/netanyahu-appears-in-conservative-groups-ad/,VIDEO,https://www.youtube.com/watch?v=rJdH-PgmeK8,NONE,NONE
FOX,White House Asked Bill Clinton to Urge Sestak to Drop Out of Senate Race,http://www.foxnews.com/politics/2010/05/28/white-house-asked-clinton-urge-sestak-drop-senate-race.html,IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/clinton_sestak.jpg?ve=1&tl=1?ve=1&tl=1,"Former President Bill Clinton denies a White House account that he urged Rep. Joe Sestak to drop out of a Senate primary. (AP)",          "Former President Bill Clinton denies a White House account that he urged Rep. Joe Sestak to drop out of a Senate primary. (AP)"
NYT,White House Used Bill Clinton to Ask Sestak to Drop Out of Race,https://thecaucus.blogs.nytimes.com/2010/05/28/white-house-used-bill-clinton-to-ask-sestak-to-drop-out-of-race/,IMAGE,https://static01.nyt.com/images/2010/05/29/us/29sestak-cnd/29sestak-cnd-blogSpan.jpg,"President Bill Clinton with Joe Sestak, and his wife, Susan, in 2006 when Mr. Sestak was running for the House of Representatives.","President Bill Clinton with Joe Sestak, and his wife, Susan, in 2006, when Mr. Sestak was running for the House of Representatives."
FOX,"Trump Bows Out as Moderator of GOP Debate, Reserves Right to Run for President",http://www.foxnews.com/politics/2011/12/13/trump-bows-out-as-moderator-gop-debate-reserves-right-to-run-for-president/,IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/trump_ny_120511.jpg?ve=1&tl=1?ve=1&tl=1,"Dec. 5, 2011: Donald Trump speaks in New York.","          Dec. 5, 2011: Donald Trump speaks in New York.
          (AP)"
